dataset,data,quotation_tbdf,label_correct,model,correctly_predicted?,count,total,%,order
rq2_lkml_civil_uncivil,Code reviews dataset,Sincere apologies,Civil,BERT,FALSE,1,9,11.11%,13
rq2_gh_civil_uncivil,Issues dataset,Sincere apologies,Civil,BERT,TRUE,19,23,82.61%,13
rq2_gh_civil_uncivil,Issues dataset,Sincere apologies,Civil,BERT,FALSE,4,23,17.39%,13
rq2_lkml_civil_uncivil,Code reviews dataset,Threat,Uncivil,BERT,TRUE,7,7,100.00%,6
rq2_lkml_civil_uncivil,Code reviews dataset,Threat,Uncivil,BERT,FALSE,0,7,0.00%,6
rq2_gh_civil_uncivil,Issues dataset,Threat,Uncivil,BERT,TRUE,27,27,100.00%,6
rq2_gh_civil_uncivil,Issues dataset,Threat,Uncivil,BERT,FALSE,0,27,0.00%,6
rq2_lkml_civil_uncivil,Code reviews dataset,Vulgarity,Uncivil,BERT,TRUE,3,4,75.00%,7
rq2_lkml_civil_uncivil,Code reviews dataset,Vulgarity,Uncivil,BERT,FALSE,1,4,25.00%,7
rq2_gh_civil_uncivil,Issues dataset,Vulgarity,Uncivil,BERT,TRUE,25,25,100.00%,7
rq2_gh_civil_uncivil,Issues dataset,Vulgarity,Uncivil,BERT,FALSE,0,25,0.00%,7
rq2_lkml_civil_uncivil,Code reviews dataset,Irony,Uncivil,BERT,TRUE,6,7,85.71%,3
rq2_lkml_civil_uncivil,Code reviews dataset,Irony,Uncivil,BERT,FALSE,1,7,14.29%,3
