dataset,data,quotation_tbdf_x,quotation_tbdf,label_correct,model,correctly_predicted?,count,total,%,order
rq3_train_lkml_test_gh_civil_uncivil,Train on code reviews and test on issues,appreciation_excitement,Appreciation and excitement,Civil,NB,TRUE,22,58,37.93%,1
rq3_train_lkml_test_gh_civil_uncivil,Train on code reviews and test on issues,appreciation_excitement,Appreciation and excitement,Civil,NB,FALSE,36,58,62.07%,1
rq3_train_lkml_test_gh_civil_uncivil,Train on code reviews and test on issues,appreciation_excitement,Appreciation and excitement,Civil,RF,TRUE,24,58,41.38%,1
rq3_train_lkml_test_gh_civil_uncivil,Train on code reviews and test on issues,appreciation_excitement,Appreciation and excitement,Civil,RF,FALSE,34,58,58.62%,1
rq3_train_lkml_test_gh_civil_uncivil,Train on code reviews and test on issues,appreciation_excitement,Appreciation and excitement,Civil,SVM,TRUE,5,58,8.62%,1
rq3_train_lkml_test_gh_civil_uncivil,Train on code reviews and test on issues,appreciation_excitement,Appreciation and excitement,Civil,SVM,FALSE,53,58,91.38%,1
rq3_train_gh_test_lkml_civil_uncivil,Train on issues and test on code reviews,commanding,Commanding,Civil,BERT,TRUE,24,45,53.33%,2
rq3_train_gh_test_lkml_civil_uncivil,Train on issues and test on code reviews,commanding,Commanding,Civil,BERT,FALSE,21,45,46.67%,2
rq3_train_gh_test_lkml_civil_uncivil,Train on issues and test on code reviews,commanding,Commanding,Civil,CART,TRUE,6,9,66.67%,2
rq3_train_gh_test_lkml_civil_uncivil,Train on issues and test on code reviews,commanding,Commanding,Civil,CART,FALSE,3,9,33.33%,2
rq3_train_gh_test_lkml_civil_uncivil,Train on issues and test on code reviews,commanding,Commanding,Civil,KNN,TRUE,3,9,33.33%,2
rq3_train_gh_test_lkml_civil_uncivil,Train on issues and test on code reviews,commanding,Commanding,Civil,KNN,FALSE,6,9,66.67%,2
rq3_train_gh_test_lkml_civil_uncivil,Train on issues and test on code reviews,commanding,Commanding,Civil,LR,TRUE,6,9,66.67%,2
rq3_train_gh_test_lkml_civil_uncivil,Train on issues and test on code reviews,commanding,Commanding,Civil,LR,FALSE,3,9,33.33%,2
rq3_train_gh_test_lkml_civil_uncivil,Train on issues and test on code reviews,commanding,Commanding,Civil,NB,TRUE,4,9,44.44%,2
rq3_train_gh_test_lkml_civil_uncivil,Train on issues and test on code reviews,commanding,Commanding,Civil,NB,FALSE,5,9,55.56%,2
rq3_train_gh_test_lkml_civil_uncivil,Train on issues and test on code reviews,commanding,Commanding,Civil,RF,TRUE,2,9,22.22%,2
rq3_train_gh_test_lkml_civil_uncivil,Train on issues and test on code reviews,commanding,Commanding,Civil,RF,FALSE,7,9,77.78%,2
rq3_train_gh_test_lkml_civil_uncivil,Train on issues and test on code reviews,commanding,Commanding,Civil,SVM,TRUE,1,9,11.11%,2
rq3_train_gh_test_lkml_civil_uncivil,Train on issues and test on code reviews,commanding,Commanding,Civil,SVM,FALSE,8,9,88.89%,2
rq3_train_lkml_test_gh_civil_uncivil,Train on code reviews and test on issues,commanding,Commanding,Civil,BERT,TRUE,67,235,28.51%,2
rq3_train_lkml_test_gh_civil_uncivil,Train on code reviews and test on issues,commanding,Commanding,Civil,BERT,FALSE,168,235,71.49%,2
rq3_train_lkml_test_gh_civil_uncivil,Train on code reviews and test on issues,commanding,Commanding,Civil,CART,TRUE,27,47,57.45%,2
rq3_train_lkml_test_gh_civil_uncivil,Train on code reviews and test on issues,commanding,Commanding,Civil,CART,FALSE,20,47,42.55%,2
rq3_train_lkml_test_gh_civil_uncivil,Train on code reviews and test on issues,commanding,Commanding,Civil,KNN,TRUE,19,47,40.43%,2
rq3_train_lkml_test_gh_civil_uncivil,Train on code reviews and test on issues,commanding,Commanding,Civil,KNN,FALSE,28,47,59.57%,2
rq3_train_lkml_test_gh_civil_uncivil,Train on code reviews and test on issues,commanding,Commanding,Civil,LR,TRUE,15,47,31.91%,2
rq3_train_lkml_test_gh_civil_uncivil,Train on code reviews and test on issues,commanding,Commanding,Civil,LR,FALSE,32,47,68.09%,2
rq3_train_lkml_test_gh_civil_uncivil,Train on code reviews and test on issues,commanding,Commanding,Civil,NB,TRUE,17,47,36.17%,2
rq3_train_lkml_test_gh_civil_uncivil,Train on code reviews and test on issues,commanding,Commanding,Civil,NB,FALSE,30,47,63.83%,2
rq3_train_lkml_test_gh_civil_uncivil,Train on code reviews and test on issues,commanding,Commanding,Civil,RF,TRUE,14,47,29.79%,2
rq3_train_lkml_test_gh_civil_uncivil,Train on code reviews and test on issues,commanding,Commanding,Civil,RF,FALSE,33,47,70.21%,2
rq3_train_lkml_test_gh_civil_uncivil,Train on code reviews and test on issues,commanding,Commanding,Civil,SVM,TRUE,14,47,29.79%,2
rq3_train_lkml_test_gh_civil_uncivil,Train on code reviews and test on issues,commanding,Commanding,Civil,SVM,FALSE,33,47,70.21%,2
rq3_train_lkml_test_gh_civil_uncivil,Train on code reviews and test on issues,confusion,Confusion,Civil,BERT,TRUE,2,12,16.67%,3
rq3_train_lkml_test_gh_civil_uncivil,Train on code reviews and test on issues,confusion,Confusion,Civil,BERT,FALSE,10,12,83.33%,3
rq3_train_lkml_test_gh_civil_uncivil,Train on code reviews and test on issues,confusion,Confusion,Civil,CART,TRUE,4,12,33.33%,3
rq3_train_lkml_test_gh_civil_uncivil,Train on code reviews and test on issues,confusion,Confusion,Civil,CART,FALSE,8,12,66.67%,3
rq3_train_lkml_test_gh_civil_uncivil,Train on code reviews and test on issues,confusion,Confusion,Civil,KNN,TRUE,5,12,41.67%,3
rq3_train_lkml_test_gh_civil_uncivil,Train on code reviews and test on issues,confusion,Confusion,Civil,KNN,FALSE,7,12,58.33%,3
rq3_train_lkml_test_gh_civil_uncivil,Train on code reviews and test on issues,confusion,Confusion,Civil,LR,TRUE,6,12,50.00%,3
rq3_train_lkml_test_gh_civil_uncivil,Train on code reviews and test on issues,confusion,Confusion,Civil,LR,FALSE,6,12,50.00%,3
rq3_train_lkml_test_gh_civil_uncivil,Train on code reviews and test on issues,confusion,Confusion,Civil,NB,TRUE,4,12,33.33%,3
rq3_train_lkml_test_gh_civil_uncivil,Train on code reviews and test on issues,confusion,Confusion,Civil,NB,FALSE,8,12,66.67%,3
rq3_train_lkml_test_gh_civil_uncivil,Train on code reviews and test on issues,confusion,Confusion,Civil,RF,TRUE,7,12,58.33%,3
rq3_train_lkml_test_gh_civil_uncivil,Train on code reviews and test on issues,confusion,Confusion,Civil,RF,FALSE,5,12,41.67%,3
rq3_train_lkml_test_gh_civil_uncivil,Train on code reviews and test on issues,confusion,Confusion,Civil,SVM,TRUE,1,12,8.33%,3
rq3_train_lkml_test_gh_civil_uncivil,Train on code reviews and test on issues,confusion,Confusion,Civil,SVM,FALSE,11,12,91.67%,3
rq3_train_gh_test_lkml_civil_uncivil,Train on issues and test on code reviews,considerateness,Considerateness,Civil,BERT,TRUE,34,85,40.00%,4
rq3_train_gh_test_lkml_civil_uncivil,Train on issues and test on code reviews,considerateness,Considerateness,Civil,BERT,FALSE,51,85,60.00%,4
rq3_train_gh_test_lkml_civil_uncivil,Train on issues and test on code reviews,considerateness,Considerateness,Civil,CART,TRUE,5,18,27.78%,4
rq3_train_gh_test_lkml_civil_uncivil,Train on issues and test on code reviews,considerateness,Considerateness,Civil,CART,FALSE,13,18,72.22%,4
rq3_train_gh_test_lkml_civil_uncivil,Train on issues and test on code reviews,considerateness,Considerateness,Civil,KNN,TRUE,6,18,33.33%,4
rq3_train_gh_test_lkml_civil_uncivil,Train on issues and test on code reviews,considerateness,Considerateness,Civil,KNN,FALSE,12,18,66.67%,4
rq3_train_gh_test_lkml_civil_uncivil,Train on issues and test on code reviews,considerateness,Considerateness,Civil,LR,TRUE,11,18,61.11%,4
rq3_train_gh_test_lkml_civil_uncivil,Train on issues and test on code reviews,considerateness,Considerateness,Civil,LR,FALSE,7,18,38.89%,4
rq3_train_gh_test_lkml_civil_uncivil,Train on issues and test on code reviews,considerateness,Considerateness,Civil,NB,TRUE,0,18,0.00%,4
rq3_train_gh_test_lkml_civil_uncivil,Train on issues and test on code reviews,considerateness,Considerateness,Civil,NB,FALSE,18,18,100.00%,4
rq3_train_gh_test_lkml_civil_uncivil,Train on issues and test on code reviews,considerateness,Considerateness,Civil,RF,TRUE,3,18,16.67%,4
rq3_train_gh_test_lkml_civil_uncivil,Train on issues and test on code reviews,considerateness,Considerateness,Civil,RF,FALSE,15,18,83.33%,4
rq3_train_gh_test_lkml_civil_uncivil,Train on issues and test on code reviews,considerateness,Considerateness,Civil,SVM,TRUE,0,18,0.00%,4
rq3_train_gh_test_lkml_civil_uncivil,Train on issues and test on code reviews,considerateness,Considerateness,Civil,SVM,FALSE,18,18,100.00%,4
rq3_train_lkml_test_gh_civil_uncivil,Train on code reviews and test on issues,considerateness,Considerateness,Civil,BERT,TRUE,87,295,29.49%,4
rq3_train_lkml_test_gh_civil_uncivil,Train on code reviews and test on issues,considerateness,Considerateness,Civil,BERT,FALSE,208,295,70.51%,4
rq3_train_lkml_test_gh_civil_uncivil,Train on code reviews and test on issues,considerateness,Considerateness,Civil,CART,TRUE,30,60,50.00%,4
rq3_train_lkml_test_gh_civil_uncivil,Train on code reviews and test on issues,considerateness,Considerateness,Civil,CART,FALSE,30,60,50.00%,4
rq3_train_lkml_test_gh_civil_uncivil,Train on code reviews and test on issues,considerateness,Considerateness,Civil,KNN,TRUE,15,60,25.00%,4
rq3_train_lkml_test_gh_civil_uncivil,Train on code reviews and test on issues,considerateness,Considerateness,Civil,KNN,FALSE,45,60,75.00%,4
rq3_train_lkml_test_gh_civil_uncivil,Train on code reviews and test on issues,considerateness,Considerateness,Civil,LR,TRUE,19,60,31.67%,4
rq3_train_lkml_test_gh_civil_uncivil,Train on code reviews and test on issues,considerateness,Considerateness,Civil,LR,FALSE,41,60,68.33%,4
rq3_train_lkml_test_gh_civil_uncivil,Train on code reviews and test on issues,considerateness,Considerateness,Civil,NB,TRUE,37,60,61.67%,4
rq3_train_lkml_test_gh_civil_uncivil,Train on code reviews and test on issues,considerateness,Considerateness,Civil,NB,FALSE,23,60,38.33%,4
rq3_train_lkml_test_gh_civil_uncivil,Train on code reviews and test on issues,considerateness,Considerateness,Civil,RF,TRUE,24,60,40.00%,4
rq3_train_lkml_test_gh_civil_uncivil,Train on code reviews and test on issues,considerateness,Considerateness,Civil,RF,FALSE,36,60,60.00%,4
rq3_train_lkml_test_gh_civil_uncivil,Train on code reviews and test on issues,considerateness,Considerateness,Civil,SVM,TRUE,27,60,45.00%,4
rq3_train_lkml_test_gh_civil_uncivil,Train on code reviews and test on issues,considerateness,Considerateness,Civil,SVM,FALSE,33,60,55.00%,4
rq3_train_lkml_test_gh_civil_uncivil,Train on code reviews and test on issues,criticizing_oppression,Criticizing oppression,Civil,BERT,TRUE,4,17,23.53%,5
rq3_train_lkml_test_gh_civil_uncivil,Train on code reviews and test on issues,criticizing_oppression,Criticizing oppression,Civil,BERT,FALSE,13,17,76.47%,5
rq3_train_lkml_test_gh_civil_uncivil,Train on code reviews and test on issues,criticizing_oppression,Criticizing oppression,Civil,CART,TRUE,5,17,29.41%,5
rq3_train_lkml_test_gh_civil_uncivil,Train on code reviews and test on issues,criticizing_oppression,Criticizing oppression,Civil,CART,FALSE,12,17,70.59%,5
rq3_train_lkml_test_gh_civil_uncivil,Train on code reviews and test on issues,criticizing_oppression,Criticizing oppression,Civil,KNN,TRUE,3,17,17.65%,5
rq3_train_lkml_test_gh_civil_uncivil,Train on code reviews and test on issues,criticizing_oppression,Criticizing oppression,Civil,KNN,FALSE,14,17,82.35%,5
rq3_train_lkml_test_gh_civil_uncivil,Train on code reviews and test on issues,criticizing_oppression,Criticizing oppression,Civil,LR,TRUE,5,17,29.41%,5
rq3_train_lkml_test_gh_civil_uncivil,Train on code reviews and test on issues,criticizing_oppression,Criticizing oppression,Civil,LR,FALSE,12,17,70.59%,5
rq3_train_lkml_test_gh_civil_uncivil,Train on code reviews and test on issues,criticizing_oppression,Criticizing oppression,Civil,NB,TRUE,4,17,23.53%,5
rq3_train_lkml_test_gh_civil_uncivil,Train on code reviews and test on issues,criticizing_oppression,Criticizing oppression,Civil,NB,FALSE,13,17,76.47%,5
rq3_train_lkml_test_gh_civil_uncivil,Train on code reviews and test on issues,criticizing_oppression,Criticizing oppression,Civil,RF,TRUE,2,17,11.76%,5
rq3_train_lkml_test_gh_civil_uncivil,Train on code reviews and test on issues,criticizing_oppression,Criticizing oppression,Civil,RF,FALSE,15,17,88.24%,5
rq3_train_lkml_test_gh_civil_uncivil,Train on code reviews and test on issues,criticizing_oppression,Criticizing oppression,Civil,SVM,TRUE,1,17,5.88%,5
rq3_train_lkml_test_gh_civil_uncivil,Train on code reviews and test on issues,criticizing_oppression,Criticizing oppression,Civil,SVM,FALSE,16,17,94.12%,5
rq3_train_lkml_test_gh_civil_uncivil,Train on code reviews and test on issues,dissatisfaction,Dissatisfaction,Civil,BERT,TRUE,58,310,18.71%,6
rq3_train_lkml_test_gh_civil_uncivil,Train on code reviews and test on issues,dissatisfaction,Dissatisfaction,Civil,BERT,FALSE,252,310,81.29%,6
rq3_train_lkml_test_gh_civil_uncivil,Train on code reviews and test on issues,dissatisfaction,Dissatisfaction,Civil,CART,TRUE,41,66,62.12%,6
rq3_train_lkml_test_gh_civil_uncivil,Train on code reviews and test on issues,dissatisfaction,Dissatisfaction,Civil,CART,FALSE,25,66,37.88%,6
rq3_train_lkml_test_gh_civil_uncivil,Train on code reviews and test on issues,dissatisfaction,Dissatisfaction,Civil,KNN,TRUE,19,66,28.79%,6
rq3_train_lkml_test_gh_civil_uncivil,Train on code reviews and test on issues,dissatisfaction,Dissatisfaction,Civil,KNN,FALSE,47,66,71.21%,6
rq3_train_lkml_test_gh_civil_uncivil,Train on code reviews and test on issues,dissatisfaction,Dissatisfaction,Civil,LR,TRUE,25,66,37.88%,6
rq3_train_lkml_test_gh_civil_uncivil,Train on code reviews and test on issues,dissatisfaction,Dissatisfaction,Civil,LR,FALSE,41,66,62.12%,6
rq3_train_lkml_test_gh_civil_uncivil,Train on code reviews and test on issues,dissatisfaction,Dissatisfaction,Civil,NB,TRUE,33,66,50.00%,6
rq3_train_lkml_test_gh_civil_uncivil,Train on code reviews and test on issues,dissatisfaction,Dissatisfaction,Civil,NB,FALSE,33,66,50.00%,6
rq3_train_lkml_test_gh_civil_uncivil,Train on code reviews and test on issues,dissatisfaction,Dissatisfaction,Civil,RF,TRUE,24,66,36.36%,6
rq3_train_lkml_test_gh_civil_uncivil,Train on code reviews and test on issues,dissatisfaction,Dissatisfaction,Civil,RF,FALSE,42,66,63.64%,6
rq3_train_lkml_test_gh_civil_uncivil,Train on code reviews and test on issues,dissatisfaction,Dissatisfaction,Civil,SVM,TRUE,30,66,45.45%,6
rq3_train_lkml_test_gh_civil_uncivil,Train on code reviews and test on issues,dissatisfaction,Dissatisfaction,Civil,SVM,FALSE,36,66,54.55%,6
rq3_train_lkml_test_gh_civil_uncivil,Train on code reviews and test on issues,expectation,Expectation,Civil,BERT,TRUE,119,225,52.89%,7
rq3_train_lkml_test_gh_civil_uncivil,Train on code reviews and test on issues,expectation,Expectation,Civil,BERT,FALSE,106,225,47.11%,7
rq3_train_lkml_test_gh_civil_uncivil,Train on code reviews and test on issues,expectation,Expectation,Civil,CART,TRUE,19,44,43.18%,7
rq3_train_lkml_test_gh_civil_uncivil,Train on code reviews and test on issues,expectation,Expectation,Civil,CART,FALSE,25,44,56.82%,7
rq3_train_lkml_test_gh_civil_uncivil,Train on code reviews and test on issues,expectation,Expectation,Civil,KNN,TRUE,19,44,43.18%,7
rq3_train_lkml_test_gh_civil_uncivil,Train on code reviews and test on issues,expectation,Expectation,Civil,KNN,FALSE,25,44,56.82%,7
rq3_train_lkml_test_gh_civil_uncivil,Train on code reviews and test on issues,expectation,Expectation,Civil,LR,TRUE,6,44,13.64%,7
rq3_train_lkml_test_gh_civil_uncivil,Train on code reviews and test on issues,expectation,Expectation,Civil,LR,FALSE,38,44,86.36%,7
rq3_train_lkml_test_gh_civil_uncivil,Train on code reviews and test on issues,expectation,Expectation,Civil,NB,TRUE,18,44,40.91%,7
rq3_train_lkml_test_gh_civil_uncivil,Train on code reviews and test on issues,expectation,Expectation,Civil,NB,FALSE,26,44,59.09%,7
rq3_train_lkml_test_gh_civil_uncivil,Train on code reviews and test on issues,expectation,Expectation,Civil,RF,TRUE,17,44,38.64%,7
rq3_train_lkml_test_gh_civil_uncivil,Train on code reviews and test on issues,expectation,Expectation,Civil,RF,FALSE,27,44,61.36%,7
rq3_train_lkml_test_gh_civil_uncivil,Train on code reviews and test on issues,expectation,Expectation,Civil,SVM,TRUE,15,44,34.09%,7
rq3_train_lkml_test_gh_civil_uncivil,Train on code reviews and test on issues,expectation,Expectation,Civil,SVM,FALSE,29,44,65.91%,7
rq3_train_gh_test_lkml_civil_uncivil,Train on issues and test on code reviews,friendly_joke,Friendly joke,Civil,BERT,TRUE,10,35,28.57%,8
rq3_train_gh_test_lkml_civil_uncivil,Train on issues and test on code reviews,friendly_joke,Friendly joke,Civil,BERT,FALSE,25,35,71.43%,8
rq3_train_gh_test_lkml_civil_uncivil,Train on issues and test on code reviews,friendly_joke,Friendly joke,Civil,CART,TRUE,3,7,42.86%,8
rq3_train_gh_test_lkml_civil_uncivil,Train on issues and test on code reviews,friendly_joke,Friendly joke,Civil,CART,FALSE,4,7,57.14%,8
rq3_train_gh_test_lkml_civil_uncivil,Train on issues and test on code reviews,friendly_joke,Friendly joke,Civil,KNN,TRUE,1,7,14.29%,8
rq3_train_gh_test_lkml_civil_uncivil,Train on issues and test on code reviews,friendly_joke,Friendly joke,Civil,KNN,FALSE,6,7,85.71%,8
rq3_train_gh_test_lkml_civil_uncivil,Train on issues and test on code reviews,friendly_joke,Friendly joke,Civil,LR,TRUE,6,7,85.71%,8
rq3_train_gh_test_lkml_civil_uncivil,Train on issues and test on code reviews,friendly_joke,Friendly joke,Civil,LR,FALSE,1,7,14.29%,8
rq3_train_gh_test_lkml_civil_uncivil,Train on issues and test on code reviews,friendly_joke,Friendly joke,Civil,NB,TRUE,2,7,28.57%,8
rq3_train_gh_test_lkml_civil_uncivil,Train on issues and test on code reviews,friendly_joke,Friendly joke,Civil,NB,FALSE,5,7,71.43%,8
rq3_train_gh_test_lkml_civil_uncivil,Train on issues and test on code reviews,friendly_joke,Friendly joke,Civil,RF,TRUE,1,7,14.29%,8
rq3_train_gh_test_lkml_civil_uncivil,Train on issues and test on code reviews,friendly_joke,Friendly joke,Civil,RF,FALSE,6,7,85.71%,8
rq3_train_gh_test_lkml_civil_uncivil,Train on issues and test on code reviews,friendly_joke,Friendly joke,Civil,SVM,TRUE,0,7,0.00%,8
rq3_train_gh_test_lkml_civil_uncivil,Train on issues and test on code reviews,friendly_joke,Friendly joke,Civil,SVM,FALSE,7,7,100.00%,8
rq3_train_lkml_test_gh_civil_uncivil,Train on code reviews and test on issues,friendly_joke,Friendly joke,Civil,BERT,TRUE,65,115,56.52%,8
rq3_train_lkml_test_gh_civil_uncivil,Train on code reviews and test on issues,friendly_joke,Friendly joke,Civil,BERT,FALSE,50,115,43.48%,8
rq3_train_lkml_test_gh_civil_uncivil,Train on code reviews and test on issues,friendly_joke,Friendly joke,Civil,CART,TRUE,5,23,21.74%,8
rq3_train_lkml_test_gh_civil_uncivil,Train on code reviews and test on issues,friendly_joke,Friendly joke,Civil,CART,FALSE,18,23,78.26%,8
rq3_train_lkml_test_gh_civil_uncivil,Train on code reviews and test on issues,friendly_joke,Friendly joke,Civil,KNN,TRUE,9,23,39.13%,8
rq3_train_lkml_test_gh_civil_uncivil,Train on code reviews and test on issues,friendly_joke,Friendly joke,Civil,KNN,FALSE,14,23,60.87%,8
rq3_train_lkml_test_gh_civil_uncivil,Train on code reviews and test on issues,friendly_joke,Friendly joke,Civil,LR,TRUE,6,23,26.09%,8
rq3_train_lkml_test_gh_civil_uncivil,Train on code reviews and test on issues,friendly_joke,Friendly joke,Civil,LR,FALSE,17,23,73.91%,8
rq3_train_lkml_test_gh_civil_uncivil,Train on code reviews and test on issues,friendly_joke,Friendly joke,Civil,NB,TRUE,12,23,52.17%,8
rq3_train_lkml_test_gh_civil_uncivil,Train on code reviews and test on issues,friendly_joke,Friendly joke,Civil,NB,FALSE,11,23,47.83%,8
rq3_train_lkml_test_gh_civil_uncivil,Train on code reviews and test on issues,friendly_joke,Friendly joke,Civil,RF,TRUE,4,23,17.39%,8
rq3_train_lkml_test_gh_civil_uncivil,Train on code reviews and test on issues,friendly_joke,Friendly joke,Civil,RF,FALSE,19,23,82.61%,8
rq3_train_lkml_test_gh_civil_uncivil,Train on code reviews and test on issues,friendly_joke,Friendly joke,Civil,SVM,TRUE,8,23,34.78%,8
rq3_train_lkml_test_gh_civil_uncivil,Train on code reviews and test on issues,friendly_joke,Friendly joke,Civil,SVM,FALSE,15,23,65.22%,8
rq3_train_gh_test_lkml_civil_uncivil,Train on issues and test on code reviews,hope_to_get_feedback,Hope to get feedback,Civil,BERT,TRUE,15,15,100.00%,9
rq3_train_gh_test_lkml_civil_uncivil,Train on issues and test on code reviews,hope_to_get_feedback,Hope to get feedback,Civil,BERT,FALSE,0,15,0.00%,9
rq3_train_gh_test_lkml_civil_uncivil,Train on issues and test on code reviews,hope_to_get_feedback,Hope to get feedback,Civil,CART,TRUE,2,4,50.00%,9
rq3_train_gh_test_lkml_civil_uncivil,Train on issues and test on code reviews,hope_to_get_feedback,Hope to get feedback,Civil,CART,FALSE,2,4,50.00%,9
rq3_train_gh_test_lkml_civil_uncivil,Train on issues and test on code reviews,hope_to_get_feedback,Hope to get feedback,Civil,KNN,TRUE,0,4,0.00%,9
rq3_train_gh_test_lkml_civil_uncivil,Train on issues and test on code reviews,hope_to_get_feedback,Hope to get feedback,Civil,KNN,FALSE,4,4,100.00%,9
rq3_train_gh_test_lkml_civil_uncivil,Train on issues and test on code reviews,hope_to_get_feedback,Hope to get feedback,Civil,LR,TRUE,3,4,75.00%,9
rq3_train_gh_test_lkml_civil_uncivil,Train on issues and test on code reviews,hope_to_get_feedback,Hope to get feedback,Civil,LR,FALSE,1,4,25.00%,9
rq3_train_gh_test_lkml_civil_uncivil,Train on issues and test on code reviews,hope_to_get_feedback,Hope to get feedback,Civil,NB,TRUE,1,4,25.00%,9
rq3_train_gh_test_lkml_civil_uncivil,Train on issues and test on code reviews,hope_to_get_feedback,Hope to get feedback,Civil,NB,FALSE,3,4,75.00%,9
rq3_train_gh_test_lkml_civil_uncivil,Train on issues and test on code reviews,hope_to_get_feedback,Hope to get feedback,Civil,RF,TRUE,0,4,0.00%,9
rq3_train_gh_test_lkml_civil_uncivil,Train on issues and test on code reviews,hope_to_get_feedback,Hope to get feedback,Civil,RF,FALSE,4,4,100.00%,9
rq3_train_gh_test_lkml_civil_uncivil,Train on issues and test on code reviews,hope_to_get_feedback,Hope to get feedback,Civil,SVM,TRUE,1,4,25.00%,9
rq3_train_gh_test_lkml_civil_uncivil,Train on issues and test on code reviews,hope_to_get_feedback,Hope to get feedback,Civil,SVM,FALSE,3,4,75.00%,9
rq3_train_lkml_test_gh_civil_uncivil,Train on code reviews and test on issues,hope_to_get_feedback,Hope to get feedback,Civil,BERT,TRUE,3,3,100.00%,9
rq3_train_lkml_test_gh_civil_uncivil,Train on code reviews and test on issues,hope_to_get_feedback,Hope to get feedback,Civil,BERT,FALSE,0,3,0.00%,9
rq3_train_lkml_test_gh_civil_uncivil,Train on code reviews and test on issues,hope_to_get_feedback,Hope to get feedback,Civil,CART,TRUE,1,3,33.33%,9
rq3_train_lkml_test_gh_civil_uncivil,Train on code reviews and test on issues,hope_to_get_feedback,Hope to get feedback,Civil,CART,FALSE,2,3,66.67%,9
rq3_train_lkml_test_gh_civil_uncivil,Train on code reviews and test on issues,hope_to_get_feedback,Hope to get feedback,Civil,KNN,TRUE,0,3,0.00%,9
rq3_train_lkml_test_gh_civil_uncivil,Train on code reviews and test on issues,hope_to_get_feedback,Hope to get feedback,Civil,KNN,FALSE,3,3,100.00%,9
rq3_train_lkml_test_gh_civil_uncivil,Train on code reviews and test on issues,hope_to_get_feedback,Hope to get feedback,Civil,LR,TRUE,2,3,66.67%,9
