,issue_id,comment_id,comment_code,comment_body,previous_comment_id,previous_comment_code,previous_comment_body,concat_body,author_name,is_first_author_thread,nr_characters,ratio_words_email_thread,ratio_words_email_comment,position_sentence_comment,position_sentence_thread,is_last_comment,time_start_to_email,time_email_to_end,time_previous_to_email,time_email_to_next
10,10260,222833331,civil,It's quite sad that not all of the interested parties were invited to the table.,222831265,technical,what does 3rd party mean in your definition?,what does 3rd party mean in your definition? It's quite sad that not all of the interested parties were invited to the table.,None,0,125,0.07262569832402235,0.6341463414634146,0.07142857142857142,0.8785046728971962,0,0.634777715250422,0.3646595385481148,0.36522228474957796,0.614518851997749
11,10260,223074767,civil,I understand your frustration at the delay in getting this in.,222833331,civil,It's quite sad that not all of the interested parties were invited to the table.,It's quite sad that not all of the interested parties were invited to the table. I understand your frustration at the delay in getting this in.,Siva,0,143,0.08100558659217877,0.5087719298245614,0.7222222222222222,0.4672897196261682,0,0.6353404614518852,0.3646595385481148,0.36522228474957796,0.614518851997749
12,10260,223074767,civil,It is possible that moving the files to third_party is not ideal but it does provide us a clean separation of the hosts that the Dart team ships periodically as install ready binaries in a SDK vs other hosts.,222833331,civil,It's quite sad that not all of the interested parties were invited to the table.,It's quite sad that not all of the interested parties were invited to the table. It is possible that moving the files to third_party is not ideal but it does provide us a clean separation of the hosts that the Dart team ships periodically as install ready binaries in a SDK vs other hosts.,Siva,0,289,0.15921787709497207,1.0,0.7222222222222222,0.4672897196261682,0,0.6353404614518852,0.3646595385481148,0.36522228474957796,0.614518851997749
13,10260,223074767,civil,If you have other ideas on how we can maintain this separation I am willing to listen.,222833331,civil,It's quite sad that not all of the interested parties were invited to the table.,It's quite sad that not all of the interested parties were invited to the table. If you have other ideas on how we can maintain this separation I am willing to listen.,Siva,0,167,0.09776536312849161,0.6140350877192983,0.7222222222222222,0.4672897196261682,0,0.6353404614518852,0.3646595385481148,0.36522228474957796,0.614518851997749
14,10260,296791437,uncivil,I had plans to make a proper port (with separate files and not patches on the linux ones) but after seeing how the Dart team treated the BSD ports efforts and specially Mulander's work ... I really got disappointed and lost all interest in Dart!,294295396,technical,"I have some suggestions on maintaining clear separation between the hosts that the Dart team ships periodically and ones that are supported by the community:  - Add the separation via the build system so that the build step that you use to build the install ready binaries does not by default build binaries for non-supported hosts. - Keep the files ending with  openbsd.cc and  openbsd.h in the source directory (if you don't want to see the OpenBSD files in the bin/runtime directory for whatever reason, consider moving the host specific files into a single separate directory for host-specific code or to multiple separate directories based on what is being specialized for each host). - Add disclaimers on each of the files that are specific to non-supported hosts explaining that these hosts are not being supported directly by Google and that the Dart SDK is only available on these hosts because of generous contributions from people from the community who spent their limited time porting the Dart SDK to a new host so that they could enable the usage of the Dart SDK on that host for the benevolence of the Dart community.  I also think it's unreasonable ask mulander to add support for all of the BSD operating systems in one set of files ending in  bsd.cc and bsd.hh as mulander would have to then add support for at least two different operating systems which is quite extreme (show some empathy and think about the human cost (in terms of time and effort) that would be required to learn about all the different BSD operating systems and then validating and testing the code on a few of the major BSD operating systems just to get the work that was already done for OpenBSD merged upstream).","I have some suggestions on maintaining clear separation between the hosts that the Dart team ships periodically and ones that are supported by the community:  - Add the separation via the build system so that the build step that you use to build the install ready binaries does not by default build binaries for non-supported hosts. - Keep the files ending with  openbsd.cc and  openbsd.h in the source directory (if you don't want to see the OpenBSD files in the bin/runtime directory for whatever reason, consider moving the host specific files into a single separate directory for host-specific code or to multiple separate directories based on what is being specialized for each host). - Add disclaimers on each of the files that are specific to non-supported hosts explaining that these hosts are not being supported directly by Google and that the Dart SDK is only available on these hosts because of generous contributions from people from the community who spent their limited time porting the Dart SDK to a new host so that they could enable the usage of the Dart SDK on that host for the benevolence of the Dart community.  I also think it's unreasonable ask mulander to add support for all of the BSD operating systems in one set of files ending in  bsd.cc and bsd.hh as mulander would have to then add support for at least two different operating systems which is quite extreme (show some empathy and think about the human cost (in terms of time and effort) that would be required to learn about all the different BSD operating systems and then validating and testing the code on a few of the major BSD operating systems just to get the work that was already done for OpenBSD merged upstream). I had plans to make a proper port (with separate files and not patches on the linux ones) but after seeing how the Dart team treated the BSD ports efforts and specially Mulander's work ... I really got disappointed and lost all interest in Dart!",None,0,1951,1.0,1.0,0.07692307692307693,0.2336448598130841,0,0.8193584693303321,0.18007878446820483,0.18064153066966798,0.7985368598761958
15,10260,359264188,civil,I've likewise abandoned Dart because I see nothing in the Dart project to give me confidence that it will be ported.,349173306,technical,Any chance of a FreeBSD port?,Any chance of a FreeBSD port? I've likewise abandoned Dart because I see nothing in the Dart project to give me confidence that it will be ported.,Jameson Little,0,146,0.08379888268156424,0.7142857142857143,0.14285714285714285,0.7009345794392523,0,0.9724254361283061,0.027574563871693866,0.028137310073157007,0.95160382667417
16,10260,359264188,civil,"I'm willing to give it another look if things change, but I can't use something if it doesn't support the systems I deploy on.",349173306,technical,Any chance of a FreeBSD port?,"Any chance of a FreeBSD port? I'm willing to give it another look if things change, but I can't use something if it doesn't support the systems I deploy on.",Jameson Little,0,156,0.1005586592178771,0.8571428571428571,0.14285714285714285,0.7009345794392523,0,0.9724254361283061,0.027574563871693866,0.028137310073157007,0.95160382667417
17,10462,598375439,uncivil,"The lack of communication on one of, if not the most requested feature of the last 3-4 years is not something to appreciate.",598364042,uncivil,you are showing how unappreciative and ignorant you can be.,"you are showing how unappreciative and ignorant you can be. The lack of communication on one of, if not the most requested feature of the last 3-4 years is not something to appreciate.",None,0,184,0.5373134328358209,0.5373134328358209,0.125,0.2653061224489796,0,0.9447513812154696,0.055248618784530384,0.056037884767166535,0.9455406471981057
18,10462,598375439,uncivil,"The lack of communication on one of, if not the most requested feature of the last 3-4 years is not something to appreciate.",598364042,uncivil,"You can fault the devs for not getting this right with modules from the start, but aside from that, you should have more awareness of reality and what these changes have required before sharing those types of crass comments.","You can fault the devs for not getting this right with modules from the start, but aside from that, you should have more awareness of reality and what these changes have required before sharing those types of crass comments. The lack of communication on one of, if not the most requested feature of the last 3-4 years is not something to appreciate.",None,0,349,1.0,1.0,0.25,0.2857142857142857,0,0.9447513812154696,0.055248618784530384,0.056037884767166535,0.9455406471981057
19,10462,598375439,uncivil,"The lack of communication on one of, if not the most requested feature of the last 3-4 years is not something to appreciate.",598364042,uncivil,"In fact, you should probably not use any open source software, as the type of comment you left above are one of the major reasons why application developers give up on open source.","In fact, you should probably not use any open source software, as the type of comment you left above are one of the major reasons why application developers give up on open source. The lack of communication on one of, if not the most requested feature of the last 3-4 years is not something to appreciate.",None,0,305,0.9104477611940298,0.9104477611940298,0.375,0.30612244897959184,0,0.9447513812154696,0.055248618784530384,0.056037884767166535,0.9455406471981057
20,10462,598380620,civil,"They decided to implement it which is great news, crass comments like these do not help anyone.",598375439,uncivil,"The lack of communication on one of, if not the most requested feature of the last 3-4 years is not something to appreciate.","The lack of communication on one of, if not the most requested feature of the last 3-4 years is not something to appreciate. They decided to implement it which is great news, crass comments like these do not help anyone.",Igor Konforti,0,220,0.6567164179104478,1.0,0.5,0.40816326530612246,0,0.9447513812154696,0.055248618784530384,0.056037884767166535,0.9455406471981057
21,10462,598380620,civil,"They decided to implement it which is great news, crass comments like these do not help anyone.",598375439,uncivil,Just because the software is open source doesn't mean we aren't paying for it.,"Just because the software is open source doesn't mean we aren't paying for it. They decided to implement it which is great news, crass comments like these do not help anyone.",Igor Konforti,0,174,0.5373134328358209,0.8181818181818182,0.125,0.3469387755102041,0,0.9447513812154696,0.055248618784530384,0.056037884767166535,0.9455406471981057
22,109,792220411,uncivil,Lose more games than the Jets and act like you are a team full of Tom Bradys.,792215476,technical,Quote the blog post to me one more time.,Quote the blog post to me one more time. Lose more games than the Jets and act like you are a team full of Tom Bradys.,zerocarbthirty,0,118,1.0,1.0,0.1111111111111111,0.1111111111111111,0,0.0,0.0,0.0,0.0
23,11609,11609,uncivil,It would be great if aside from the current way of building widgets you could add JSX like capabilities.,409440643,technical,"Ok this conversation has gone well beyond the kinds of discussions that we consider acceptable in the Flutter community, and so I'm going to lock this thread and close the bug. Please consider reading for more details on how we behave here.  The next step if anyone wants to contribute code to address this issue would be to come up with a design for how to do build system integration such that we can have code generation work with Gradle, Xcode, hot reload, and integration with existing apps. If anyone is interested in working on this, please don't hesitate to reach out to me. Otherwise I expect this is something we'll work on early next year. Once we have a mechanism to do that, solutions like DSX will be easy to integrate into the Flutter ecosystem. We may even find solutions that should be integrated by default. In the meantime we're also working on improvements to Dart's syntax to see if we can make UI expressions even easier to write.  I would like to ask that people do not open new bugs on this topic unless there is something very constructive and new that is worth bringing up.","Ok this conversation has gone well beyond the kinds of discussions that we consider acceptable in the Flutter community, and so I'm going to lock this thread and close the bug. Please consider reading for more details on how we behave here.  The next step if anyone wants to contribute code to address this issue would be to come up with a design for how to do build system integration such that we can have code generation work with Gradle, Xcode, hot reload, and integration with existing apps. If anyone is interested in working on this, please don't hesitate to reach out to me. Otherwise I expect this is something we'll work on early next year. Once we have a mechanism to do that, solutions like DSX will be easy to integrate into the Flutter ecosystem. We may even find solutions that should be integrated by default. In the meantime we're also working on improvements to Dart's syntax to see if we can make UI expressions even easier to write.  I would like to ask that people do not open new bugs on this topic unless there is something very constructive and new that is worth bringing up. It would be great if aside from the current way of building widgets you could add JSX like capabilities.",,1,1204,0.8913857677902621,1.0,0.05,0.2159383033419023,0,0.0,0.0,0.0,0.0
24,11609,322606129,civil,Sorry if I sound defensive or aggressive. :-),322603357,technical,Also in the final XML processor I would avoid passing objects to attributes of parents and instead create child tags as below:,Also in the final XML processor I would avoid passing objects to attributes of parents and instead create child tags as below: Sorry if I sound defensive or aggressive. :-),Ian Hickson,0,172,0.12734082397003746,0.6538461538461539,0.8333333333333334,0.34190231362467866,0,0.002849002849002849,0.9971509971509972,1.0,0.002849002849002849
25,11609,322606129,civil,"don't take my argumentative tone as dismissive, I'm very interested in your input here.",322603357,technical,Also in the final XML processor I would avoid passing objects to attributes of parents and instead create child tags as below:,"Also in the final XML processor I would avoid passing objects to attributes of parents and instead create child tags as below: don't take my argumentative tone as dismissive, I'm very interested in your input here.",Ian Hickson,0,214,0.15355805243445692,0.7884615384615384,0.8333333333333334,0.34190231362467866,0,0.002849002849002849,0.9971509971509972,1.0,0.002849002849002849
26,11609,322844427,uncivil,Stop nit-picking things that are not fully specified.,322606129,civil,Sorry if I sound defensive or aggressive. :-),Sorry if I sound defensive or aggressive. :-) Stop nit-picking things that are not fully specified.,Carlos Bazzarella,0,99,0.0749063670411985,0.3508771929824561,0.6938775510204082,0.35218508997429304,0,0.005698005698005698,0.9943019943019943,0.9971509971509972,0.002849002849002849
27,11609,322844427,uncivil,Stop nit-picking things that are not fully specified.,322606129,civil,"don't take my argumentative tone as dismissive, I'm very interested in your input here.","don't take my argumentative tone as dismissive, I'm very interested in your input here. Stop nit-picking things that are not fully specified.",Carlos Bazzarella,0,141,0.10112359550561797,0.47368421052631576,0.7346938775510204,0.35732647814910024,0,0.005698005698005698,0.9943019943019943,0.9971509971509972,0.002849002849002849
28,11609,359033481,civil,"Wow, could have written a blog post xD",359031126,technical,"If Devs are complaining about the difficulty of laying out the pages visually - an idea would be to create a layout designer which lets you set your themes and design pages visually by drag-and-drop. Then it would generate Flutter code which is not intended to ever be editted - but rather creates classes which can be used to compose your app.  It wouldnt need to be 2-way editing (XML/layout) like Android XML, but you just save your layout for later. If you need to change it you can regenerate the code and (hopefully) just change some arguments.","If Devs are complaining about the difficulty of laying out the pages visually - an idea would be to create a layout designer which lets you set your themes and design pages visually by drag-and-drop. Then it would generate Flutter code which is not intended to ever be editted - but rather creates classes which can be used to compose your app.  It wouldnt need to be 2-way editing (XML/layout) like Android XML, but you just save your layout for later. If you need to change it you can regenerate the code and (hopefully) just change some arguments. Wow, could have written a blog post xD",Franz Silva,0,589,0.4344569288389513,1.0,0.038461538461538464,0.07712082262210797,0,0.45014245014245013,0.5498575498575499,0.5527065527065527,0.4472934472934473
29,11609,392184648,uncivil,"The point being, we haven't made any decisions yet, and are very open to learning what needs to be done based on all these discussions and experiments.",391798248,technical,"People can't use my experiments because it can't be seamlessly embedded right now into Flutter, so it remains an outside/online experiment where people can only see the potential. Can you be more specific timewise for when can we expect some movement on the build system changes to support preprocessing? Are we talking a month, a quarter, six month, a year, 2 years, a decade, a jubilee, etc Please read the top paragraphs of the JSX spec to see that there is no need to change the Dart language since JSX/DSX has no semantics, and it is not meant to be implemented by engines or incorporated into languages. It is intended to be used in a preprocessor (transpiler). DSX could be used with Flutter & on Web to make React-Dart exactly like React.js but with the Dart language. How can people use something that is not available for them to use in the first place and then conclude that nothing needs to be done because people are not using it ? This reminds me so much of Melissa McCarthy's Sean Spicer impersonation on SNL about the 'travel ban'... 'circular using of the word' Preprocessing capabilities are badly needed to enable experimentation. Without it nothing moves forward and you won't learn anything new.","People can't use my experiments because it can't be seamlessly embedded right now into Flutter, so it remains an outside/online experiment where people can only see the potential. Can you be more specific timewise for when can we expect some movement on the build system changes to support preprocessing? Are we talking a month, a quarter, six month, a year, 2 years, a decade, a jubilee, etc Please read the top paragraphs of the JSX spec to see that there is no need to change the Dart language since JSX/DSX has no semantics, and it is not meant to be implemented by engines or incorporated into languages. It is intended to be used in a preprocessor (transpiler). DSX could be used with Flutter & on Web to make React-Dart exactly like React.js but with the Dart language. How can people use something that is not available for them to use in the first place and then conclude that nothing needs to be done because people are not using it ? This reminds me so much of Melissa McCarthy's Sean Spicer impersonation on SNL about the 'travel ban'... 'circular using of the word' Preprocessing capabilities are badly needed to enable experimentation. Without it nothing moves forward and you won't learn anything new. The point being, we haven't made any decisions yet, and are very open to learning what needs to be done based on all these discussions and experiments.",Ian Hickson,0,1368,1.0,1.0,0.05263157894736842,0.16709511568123395,0,0.8091168091168092,0.1908831908831909,0.19373219373219372,0.8091168091168092
30,11609,409419413,uncivil,"And if, by chance, he was being sincere, then I apologize for my snideness",409405998,uncivil,"That I appreciate and I read all your 'long writings', answering everything: no way, but when I answer properly you don't understand my answer and concludes that I am being dismissive.","That I appreciate and I read all your 'long writings', answering everything: no way, but when I answer properly you don't understand my answer and concludes that I am being dismissive. And if, by chance, he was being sincere, then I apologize for my snideness",None,0,259,0.20224719101123595,0.7941176470588235,0.03333333333333333,0.010282776349614395,0,1.0,0.0,0.002849002849002849,1.0
31,11609,409419413,uncivil,"And if, by chance, he was being sincere, then I apologize for my snideness",409405998,uncivil,Obviously you didn't take my hint on length to heart but don't come to conclusions about my character because you don't know me at all.,"Obviously you didn't take my hint on length to heart but don't come to conclusions about my character because you don't know me at all. And if, by chance, he was being sincere, then I apologize for my snideness",None,0,210,0.17228464419475656,0.6764705882352942,0.022222222222222223,0.007712082262210797,0,1.0,0.0,0.002849002849002849,1.0
32,11609,409419413,uncivil,"And if, by chance, he was being sincere, then I apologize for my snideness",409405998,uncivil,"It is obvious to me that you are not very experienced with JSX, you really don't understand how it works.","It is obvious to me that you are not very experienced with JSX, you really don't understand how it works. And if, by chance, he was being sincere, then I apologize for my snideness",None,0,180,0.149812734082397,0.5882352941176471,0.044444444444444446,0.012853470437017995,0,1.0,0.0,0.002849002849002849,1.0
33,11609,409419413,uncivil,"And if, by chance, he was being sincere, then I apologize for my snideness",409405998,uncivil,You are not the meter used to measure success and you don't know what I am up to.,"You are not the meter used to measure success and you don't know what I am up to. And if, by chance, he was being sincere, then I apologize for my snideness",None,0,156,0.13857677902621723,0.5441176470588235,0.28888888888888886,0.06940874035989718,0,1.0,0.0,0.002849002849002849,1.0
34,1200,224917160,civil,I have dreamed for years of having WCF across their entire network so that I can finally (!) have reliable transactions and durable services spanning their various generations of Linux and Windows.,224911605,technical,"I agree with websitewill as I am in that exact situation. I'd also like to point out that WCF in the full .NET Framework is done, finished, complete. If that spec were implemented to the letter in .NET Core I'd be very content and would be able to start transitioning projects.  Thanks, Kenny","I agree with websitewill as I am in that exact situation. I'd also like to point out that WCF in the full .NET Framework is done, finished, complete. If that spec were implemented to the letter in .NET Core I'd be very content and would be able to start transitioning projects.  Thanks, Kenny I have dreamed for years of having WCF across their entire network so that I can finally (!) have reliable transactions and durable services spanning their various generations of Linux and Windows.",None,0,490,0.5549132947976878,1.0,0.07142857142857142,0.25112107623318386,0,0.025252525252525252,0.9747474747474747,0.9764309764309764,0.026936026936026935
35,1200,224975840,civil,"Having WCF on .Net core is not only desirable, it is essential.",224950611,technical,"Let me also mention the value of WCF in .NET core.  WCF gives the best capabailities across all my services. (Perhaps we need a sexier name for it) but in general, I use and wish to continue to use: - **System.Transactions** - **Durable services** - **Named pipes** - **An extensibility model** - **Transactional Queuing** - **MEX framework (and MEX endpoint)**  And when we can run these services on Linux (and eventually IOS), it allows the most solid framework  Paul","Let me also mention the value of WCF in .NET core.  WCF gives the best capabailities across all my services. (Perhaps we need a sexier name for it) but in general, I use and wish to continue to use: - **System.Transactions** - **Durable services** - **Named pipes** - **An extensibility model** - **Transactional Queuing** - **MEX framework (and MEX endpoint)**  And when we can run these services on Linux (and eventually IOS), it allows the most solid framework  Paul Having WCF on .Net core is not only desirable, it is essential.",Eric Scherrer,0,533,0.7398843930635838,1.0,0.1,0.12556053811659193,0,0.025252525252525252,0.9747474747474747,0.9764309764309764,0.026936026936026935
36,1200,224983284,civil,"We have a strong need to run .NET/WCF on Linux, so please add this to the road map!",224975840,civil,"Having WCF on .Net core is not only desirable, it is essential.","Having WCF on .Net core is not only desirable, it is essential. We have a strong need to run .NET/WCF on Linux, so please add this to the road map!",Holt Hopkins,0,147,0.19653179190751446,1.0,0.09090909090909091,0.8789237668161435,0,0.025252525252525252,0.9747474747474747,0.9764309764309764,0.026936026936026935
37,1200,233673845,civil,"Stop invest in dead technologies such as WCF and VB.NET, spending tremendous amounts of resources to nowhere, instead of spending for something good.",233648984,technical,"I really like youngsters telling about how fancy is using Web Api for their startups (I do too), however we also have here tons of enterprise grade software hosted on IIS and using WCF as an extremnely flexible communication stack abstracting transport layer from a developer, we do have tons of partner organization integrations using various versions of SOAP protocol. Are you telling me to code my own SOAP stack using web api or OWIN middleware? ,) I do not think so. Having no WCF Server Side support in Core makes it unusable and not even an option for consider thus effectively limiting its adoption, which I think is not MS wants. I would welcome WCF on OWIN more than warmly, then we would be having complete .NET Core offering when it comes to communicating.","I really like youngsters telling about how fancy is using Web Api for their startups (I do too), however we also have here tons of enterprise grade software hosted on IIS and using WCF as an extremnely flexible communication stack abstracting transport layer from a developer, we do have tons of partner organization integrations using various versions of SOAP protocol. Are you telling me to code my own SOAP stack using web api or OWIN middleware? ,) I do not think so. Having no WCF Server Side support in Core makes it unusable and not even an option for consider thus effectively limiting its adoption, which I think is not MS wants. I would welcome WCF on OWIN more than warmly, then we would be having complete .NET Core offering when it comes to communicating. Stop invest in dead technologies such as WCF and VB.NET, spending tremendous amounts of resources to nowhere, instead of spending for something good.",Alexander Batishchev,0,918,1.0,1.0,0.1,0.4484304932735426,0,0.09259259259259259,0.9074074074074074,0.9090909090909091,0.09427609427609428
38,1200,270920940,civil,Without WCF we will either have to abandon a lot of the plans or suffer a decrease in productivity.  :-(,268361758,technical,WCF on .NET core will be critical for out migration and adoption of .NET core.  We're leveraging many of the capabilities of WCF and without a clear migration path core won't be as compelling. These are requirements.  1. Transactions 2. A transactional queuing programming model 3. Extensibility model,WCF on .NET core will be critical for out migration and adoption of .NET core.  We're leveraging many of the capabilities of WCF and without a clear migration path core won't be as compelling. These are requirements.  1. Transactions 2. A transactional queuing programming model 3. Extensibility model Without WCF we will either have to abandon a lot of the plans or suffer a decrease in productivity.  :-(,Allen Byron Penner,0,406,0.45664739884393063,1.0,0.07142857142857142,0.004484304932735426,0,0.38047138047138046,0.6195286195286195,0.6212121212121212,0.38215488215488214
39,1200,272108196,civil,It's possible you misunderstood the comment.,272102246,technical,This couldn't be any better of a reason to NOT support WCF.,This couldn't be any better of a reason to NOT support WCF. It's possible you misunderstood the comment.,Scott Hurlbert,0,104,0.12716763005780346,0.6285714285714286,0.125,0.49327354260089684,0,0.3888888888888889,0.6094276094276094,0.6111111111111112,0.39057239057239057
40,1200,272424908,uncivil,"Do I like being productive, absolutely. That means, never using WCF.",272192826,uncivil,"Are you a I am the greatest dev alive"" guy?""","Are you a I am the greatest dev alive"" guy?"" Do I like being productive, absolutely. That means, never using WCF.",Phillip Haydon,0,113,0.16184971098265896,0.717948717948718,0.35714285714285715,0.08071748878923767,0,0.39225589225589225,0.6077441077441077,0.6094276094276094,0.3939393939393939
41,1200,272424908,uncivil,"Do I like being productive, absolutely. That means, never using WCF.",272192826,uncivil,because if you even pause for a second to contemplate yes to any of those things you have a very rude awakening coming.,"because if you even pause for a second to contemplate yes to any of those things you have a very rude awakening coming. Do I like being productive, absolutely. That means, never using WCF.",Phillip Haydon,0,188,0.2254335260115607,1.0,0.42857142857142855,0.08520179372197309,0,0.39225589225589225,0.6077441077441077,0.6094276094276094,0.3939393939393939
42,1200,272424908,uncivil,"Do I like being productive, absolutely. That means, never using WCF.",272192826,uncivil,"It would also have been nice if you gave some actual reasoning behind your comment, not just flaming.","It would also have been nice if you gave some actual reasoning behind your comment, not just flaming. Do I like being productive, absolutely. That means, never using WCF.",Phillip Haydon,0,170,0.2023121387283237,0.8974358974358975,0.5,0.08968609865470852,0,0.39225589225589225,0.6077441077441077,0.6094276094276094,0.3939393939393939
43,134,438367830,civil,it seems you're a little too caffeinated here :,438363849,technical,I just for understand the code,I just for understand the code it seems you're a little too caffeinated here :,Fahrzin Hemmati,0,78,0.3404255319148936,0.3404255319148936,0.5,0.8571428571428571,0,0.0,0.0,0.0,0.0
44,1367,571852302,civil,Mike you are a valued JIT contributor,571821748,uncivil,Care to explain why did you deleted my comment?,Care to explain why did you deleted my comment? Mike you are a valued JIT contributor,Brian Sullivan,0,85,0.30357142857142855,0.5666666666666667,0.25,0.3333333333333333,0,0.0,0.9722222222222222,1.0,0.027777777777777776
45,1367,571852302,civil,I didn't really think about it too much.,571821748,uncivil,Care to explain why did you deleted my comment?,Care to explain why did you deleted my comment? I didn't really think about it too much.,Brian Sullivan,0,88,0.35714285714285715,0.6666666666666666,0.25,0.3333333333333333,0,0.0,0.9722222222222222,1.0,0.027777777777777776
