model,class_balancing,metric,class0,class1,order,data
NB,SMOTE,Recall,0.85,0.43,5,Issues dataset
NB,SMOTE,F1,0.81,0.49,5,Issues dataset
RF,Random Oversampling,Precision,0.78,0.72,6,Issues dataset
RF,Random Oversampling,Recall,0.93,0.38,6,Issues dataset
RF,Random Oversampling,F1,0.85,0.50,6,Issues dataset
RF,Random Undersampling,Precision,0.79,0.71,6,Issues dataset
RF,Random Undersampling,Recall,0.92,0.44,6,Issues dataset
RF,Random Undersampling,F1,0.85,0.55,6,Issues dataset
RF,SMOTE,Precision,0.77,0.75,6,Issues dataset
RF,SMOTE,Recall,0.95,0.37,6,Issues dataset
RF,SMOTE,F1,0.85,0.49,6,Issues dataset
SVM,Random Oversampling,Precision,0.72,0.51,7,Issues dataset
SVM,Random Oversampling,Recall,0.91,0.18,7,Issues dataset
SVM,Random Oversampling,F1,0.80,0.25,7,Issues dataset
SVM,Random Undersampling,Precision,0.71,0.62,7,Issues dataset
SVM,Random Undersampling,Recall,0.99,0.05,7,Issues dataset
SVM,Random Undersampling,F1,0.82,0.10,7,Issues dataset
SVM,SMOTE,Precision,0.72,0.45,7,Issues dataset
SVM,SMOTE,Recall,0.89,0.20,7,Issues dataset
SVM,SMOTE,F1,0.80,0.28,7,Issues dataset
