model,class_balancing,metric,score,order,data
NB,SMOTE,MCC,0.11,5,Code reviews dataset
RF,Random Undersampling,MCC,0.26,6,Code reviews dataset
RF,Random Oversampling,MCC,0.13,6,Code reviews dataset
RF,SMOTE,MCC,0.13,6,Code reviews dataset
SVM,Random Undersampling,MCC,0.00,7,Code reviews dataset
SVM,Random Oversampling,MCC,0.02,7,Code reviews dataset
SVM,SMOTE,MCC,0.07,7,Code reviews dataset
BERT,-,nMCC,0.91,1,Code reviews dataset
BERT,Random Undersampling,nMCC,0.94,1,Code reviews dataset
BERT,Random Oversampling,nMCC,0.62,1,Code reviews dataset
CART,Random Undersampling,nMCC,0.59,2,Code reviews dataset
CART,Random Oversampling,nMCC,0.59,2,Code reviews dataset
CART,SMOTE,nMCC,0.59,2,Code reviews dataset
KNN,Random Undersampling,nMCC,0.52,3,Code reviews dataset
KNN,Random Oversampling,nMCC,0.50,3,Code reviews dataset
KNN,SMOTE,nMCC,0.50,3,Code reviews dataset
LR,Random Undersampling,nMCC,0.62,4,Code reviews dataset
LR,Random Oversampling,nMCC,0.64,4,Code reviews dataset
LR,SMOTE,nMCC,0.63,4,Code reviews dataset
NB,Random Undersampling,nMCC,0.56,5,Code reviews dataset
NB,Random Oversampling,nMCC,0.56,5,Code reviews dataset
NB,SMOTE,nMCC,0.56,5,Code reviews dataset
RF,Random Undersampling,nMCC,0.63,6,Code reviews dataset
RF,Random Oversampling,nMCC,0.56,6,Code reviews dataset
RF,SMOTE,nMCC,0.57,6,Code reviews dataset
SVM,Random Undersampling,nMCC,0.50,7,Code reviews dataset
SVM,Random Oversampling,nMCC,0.51,7,Code reviews dataset
SVM,SMOTE,nMCC,0.53,7,Code reviews dataset
BERT,-,Precision,0.93,1,Code reviews dataset
BERT,Random Undersampling,Precision,0.93,1,Code reviews dataset
BERT,Random Oversampling,Precision,0.53,1,Code reviews dataset
CART,Random Undersampling,Precision,0.57,2,Code reviews dataset
CART,Random Oversampling,Precision,0.59,2,Code reviews dataset
CART,SMOTE,Precision,0.58,2,Code reviews dataset
KNN,Random Undersampling,Precision,0.52,3,Code reviews dataset
KNN,Random Oversampling,Precision,0.51,3,Code reviews dataset
KNN,SMOTE,Precision,0.50,3,Code reviews dataset
LR,Random Undersampling,Precision,0.59,4,Code reviews dataset
LR,Random Oversampling,Precision,0.60,4,Code reviews dataset
LR,SMOTE,Precision,0.60,4,Code reviews dataset
NB,Random Undersampling,Precision,0.54,5,Code reviews dataset
NB,Random Oversampling,Precision,0.54,5,Code reviews dataset
NB,SMOTE,Precision,0.54,5,Code reviews dataset
RF,Random Undersampling,Precision,0.73,6,Code reviews dataset
RF,Random Oversampling,Precision,0.75,6,Code reviews dataset
RF,SMOTE,Precision,0.72,6,Code reviews dataset
SVM,Random Undersampling,Precision,0.44,7,Code reviews dataset
SVM,Random Oversampling,Precision,0.54,7,Code reviews dataset
SVM,SMOTE,Precision,0.61,7,Code reviews dataset
BERT,-,Recall,0.90,1,Code reviews dataset
BERT,Random Undersampling,Recall,0.95,1,Code reviews dataset
BERT,Random Oversampling,Recall,0.63,1,Code reviews dataset
CART,Random Undersampling,Recall,0.61,2,Code reviews dataset
CART,Random Oversampling,Recall,0.60,2,Code reviews dataset
CART,SMOTE,Recall,0.60,2,Code reviews dataset
KNN,Random Undersampling,Recall,0.52,3,Code reviews dataset
KNN,Random Oversampling,Recall,0.50,3,Code reviews dataset
KNN,SMOTE,Recall,0.51,3,Code reviews dataset
LR,Random Undersampling,Recall,0.68,4,Code reviews dataset
LR,Random Oversampling,Recall,0.69,4,Code reviews dataset
LR,SMOTE,Recall,0.68,4,Code reviews dataset
NB,Random Undersampling,Recall,0.59,5,Code reviews dataset
NB,Random Oversampling,Recall,0.58,5,Code reviews dataset
NB,SMOTE,Recall,0.58,5,Code reviews dataset
RF,Random Undersampling,Recall,0.57,6,Code reviews dataset
RF,Random Oversampling,Recall,0.52,6,Code reviews dataset
RF,SMOTE,Recall,0.52,6,Code reviews dataset
SVM,Random Undersampling,Recall,0.50,7,Code reviews dataset
SVM,Random Oversampling,Recall,0.50,7,Code reviews dataset
SVM,SMOTE,Recall,0.51,7,Code reviews dataset
